ds_id,Slide,Polarity,Mass Range,Group,,,,
2021-07-06_16h01m12s,10c,Neg,High,Dreisewerd,,,,
2021-07-06_15h53m32s,10c,Neg,Low,Dreisewerd,,,,
2021-07-06_15h03m52s,10e,Neg,Low,Dreisewerd,,,,
2021-07-06_14h55m48s,10e,Neg,High,Dreisewerd,,,,
2021-07-06_14h42m55s,10e,Pos,Low,Dreisewerd,,,,
2021-07-06_14h37m03s,10e,Pos,High,Dreisewerd,,,,
2021-07-06_13h57m23s,10d,Pos,Low,Dreisewerd,,,,
2021-07-06_13h50m48s,10d,Pos,High,Dreisewerd,,,,
2021-06-09_14h33m09s,13j,Pos,Low,Bruker,,,,
2021-06-09_14h07m40s,13j,Pos,High,Bruker,,,,
